N,P,K,temperature,humidity,ph,rainfall,label
67,46,35,21.21780503,82.56696512,7.45521056,320.27632584,rice
75,37,36,25.13311221,81.30824977,5.92312888,236.2551688,rice
95,57,53,24.99586762,83.29915143,5.52212986,257.02169471,rice
77,49,49,26.3342012,81.09682394,6.68162758,206.34118552,rice
79,46,31,21.26448162,81.34231644,5.85131786,277.4512278,rice
52,32,44,23.5363197,83.72526106,6.77846976,224.47262261,rice
81,48,60,17.37281968,78.45578957,5.45034366,225.10218057,rice
76,39,33,23.20779953,79.50537004,6.33211957,187.99382453,rice
88,48,37,22.70950574,82.91340936,6.8903723,231.77036308,rice
69,60,40,20.19364717,80.78451467,6.73618137,232.9280988,rice
74,47,42,16.87072916,78.55497681,4.95150506,168.50648666,rice
86,54,43,24.89885093,83.4154694,5.9603579,202.31694703,rice
99,58,40,27.70896552,80.67255874,7.23589825,238.03959878,rice
84,42,43,25.43623676,81.90365435,7.79171843,221.53302564,rice
88,53,53,27.34241413,85.623362,6.10004425,247.19156955,rice
54,32,54,23.65117112,82.62611575,5.33888312,235.30298867,rice
90,35,43,20.60633842,79.58662201,6.4427853,173.46793535,rice
76,39,54,21.81221512,83.00988505,6.85236834,291.08677519,rice
61,50,56,24.23233456,78.02775609,6.30095256,258.26086709,rice
88,70,46,21.50529309,83.069491,6.75119282,220.19853824,rice
87,38,51,28.28238702,83.16544416,6.09903032,220.78684159,rice
85,39,59,26.6140874,84.39897631,5.18819618,260.87363213,rice
98,58,25,22.70640361,81.58837243,4.99832114,238.82549175,rice
86,33,63,25.00663112,81.54375039,6.86043721,193.70541713,rice
86,48,23,21.24345377,80.60812289,5.41603479,106.91405985,maize
75,52,28,23.04394265,58.61989464,6.61221353,101.8172612,maize
77,44,2,18.75804759,72.84588456,5.867687,93.40887516,maize
71,45,23,22.1843276,62.23329098,6.93359063,86.28685162,maize
84,58,20,18.64081999,55.47819144,5.4864318,61.48566831,maize
61,44,30,23.84993502,68.94319151,6.25729222,92.94915308,maize
78,42,14,21.43915578,57.27207955,6.36139873,70.74871759,maize
84,27,20,28.49254253,65.92642554,6.23395658,96.22192569,maize
55,35,4,21.79762339,63.68131111,5.98776865,104.18318559,maize
64,68,14,24.74766878,53.18856614,5.73486766,110.7455297,maize
68,54,22,17.79882525,59.92960236,5.90913933,82.51795609,maize
80,40,13,19.67933637,60.55630785,5.6182631,90.43089339,maize
63,48,26,15.85743789,67.42008606,6.794811,85.70461186,maize
73,34,12,21.9784869,59.89295964,6.3889855,94.78807628,maize
61,45,28,24.02423732,66.36684122,6.09115765,82.24298611,maize
57,51,15,24.23220773,65.32590231,6.58092739,105.63259865,maize
68,49,20,23.34920576,72.59160613,5.31738984,102.60728608,maize
79,47,27,21.96403449,60.14103007,5.94669865,107.09324153,maize
80,72,13,22.19201373,77.58801391,6.79569482,77.55681923,maize
83,46,10,25.46559559,67.55167527,5.83699245,83.7909933,maize
81,47,25,20.89556599,53.99230225,5.50902548,80.02183759,maize
72,49,6,23.21047835,78.32035224,5.97328085,91.89711785,maize
80,42,17,24.31887347,55.63132312,6.72365764,67.03470755,maize
78,47,20,21.85687467,54.90614885,5.94174463,101.71936081,maize
62,55,15,20.76901089,67.19673314,5.95412629,101.39283724,maize
105,38,20,18.97139905,59.55675851,5.88495874,72.14267689,maize
79,35,30,25.85850204,67.0784111,5.52659873,91.16000317,maize
93,59,10,23.40465692,72.10860652,5.37083222,87.88143227,maize
73,48,23,21.58671971,62.1324575,6.24617702,59.18626111,maize
78,50,17,24.49306102,71.5284719,6.44199115,84.08757312,maize
97,39,19,24.74181615,65.4018705,5.6413362,94.21924428,maize
78,57,11,18.56910975,50.73590045,6.21634761,71.22541274,maize
70,46,26,23.68013061,55.2212656,6.52780903,71.73084066,maize
81,57,17,20.65142178,56.63944163,5.66776363,60.57407033,maize
79,28,22,19.30932081,66.39744513,5.41939854,96.14287337,maize
83,44,14,20.83628278,72.49913177,6.50146847,86.04960908,maize
84,54,2,26.07091711,43.66657204,5.89197549,103.38022051,maize
64,42,14,25.0986756,70.12699467,5.34041943,81.94611822,maize
68,35,21,18.81625335,49.73743654,6.01016176,60.95715705,maize
70,50,14,25.22418853,56.5811239,6.05681693,79.2092254,maize
77,44,25,21.79249727,62.85311899,6.25234501,113.44880024,maize
71,48,18,20.14207018,62.97087069,6.29919058,76.49174397,maize
83,51,19,20.90753452,80.49906831,5.97402451,78.01183433,maize
86,35,31,24.47639211,64.92862719,6.9951094,90.38946676,maize
77,35,11,24.19546014,46.78678179,6.30270526,80.82875413,maize
90,38,22,25.26791917,69.62026244,7.15822244,76.54841024,maize
63,60,37,23.59935344,69.08175695,5.95357012,60.84680018,maize
76,58,20,24.09208181,63.62796992,6.02892355,66.89628752,maize
67,52,22,19.03897525,66.10913635,6.71120361,99.65609438,maize
88,49,25,25.11246831,59.36831359,5.29592798,111.15239284,maize
65,40,21,23.6713648,68.47440124,6.65561902,90.97867931,maize
79,40,20,22.41594665,66.35227106,7.30326265,80.14340832,maize
74,50,25,23.4572845,73.81380395,6.15251734,83.01747205,maize
80,47,24,19.95976772,57.470994,6.31214865,97.01438927,maize
86,54,27,30.93794774,53.03541727,5.83081171,78.75737374,maize
84,54,18,28.86343021,66.64101782,5.26875762,72.96436381,maize
67,38,20,23.01902142,52.00581903,6.10984649,88.21108124,maize
74,43,23,24.33253475,61.96059697,6.59519674,102.69378012,maize
60,49,15,22.75798044,59.44169521,5.65017083,91.51447541,maize
97,39,14,22.38270324,64.36865311,5.74874675,83.42540172,maize
69,47,27,19.39025408,64.40836083,6.53757233,52.2809899,maize
69,49,19,23.93283219,70.52556589,6.50422587,84.78587586,maize
41,35,31,20.86038662,51.11099744,6.81762369,88.20033387,maize
59,52,27,26.10810242,62.01376512,6.78247222,101.91613599,maize
73,52,17,28.30614355,65.09363069,6.84551453,91.92130619,maize
83,70,18,23.75839468,73.80445266,6.77012664,88.17574627,maize
59,51,20,21.02537752,65.59262897,7.58371795,100.51788321,maize
66,46,16,27.00608776,70.24619911,6.52577031,97.3240197,maize
97,64,14,21.4432049,68.36234007,7.46595234,110.20148806,maize
97,44,5,24.01333394,60.10684703,6.22131551,86.69942949,maize
86,59,20,16.6174632,69.94178823,5.37005606,92.63198915,maize
90,51,16,19.90218035,53.46752591,6.34536659,82.68118679,maize
94,41,16,24.34870619,48.71030142,5.26940316,83.78899899,maize
100,33,26,19.4450534,65.71730657,6.07869048,73.62982599,maize
87,56,36,21.37168743,61.79342739,6.58448294,100.28656253,maize
71,30,9,18.7217608,55.80782597,6.12269462,70.1667977,maize
73,51,24,19.77714748,65.25536529,5.18419022,91.17570676,maize
77,49,25,26.63320871,64.98424829,6.60765804,77.47349581,maize
93,54,21,25.52600507,68.39117407,6.80886259,101.79135515,maize
88,49,16,22.53294868,75.05195812,6.47762004,62.3279026,maize
74,59,17,25.94476927,68.795367,6.32234096,90.18272208,maize
83,45,25,22.36332562,61.59020507,6.04405434,118.30959548,maize
73,27,25,26.80501853,75.4308704,6.37947822,88.69087208,maize
84,71,24,26.92023924,66.28040311,6.16339084,93.71907085,maize
82,53,26,22.74815461,74.87113397,6.35470642,97.36276409,maize
81,29,26,20.86865159,74.8792189,6.15608216,91.07060029,maize
88,42,18,16.92956879,60.2471448,6.19621635,101.95566786,maize
76,62,29,20.04962046,64.70296333,6.24507841,73.20639834,maize
71,54,19,19.59180427,58.30214301,6.92352935,85.65367781,maize
68,48,16,23.30448834,58.34624655,6.11002996,94.7472299,maize
75,48,16,24.5731877,75.05184687,5.9678098,95.27797347,maize
75,58,16,18.04338252,65.98818313,5.32176164,84.40343481,maize
89,53,21,23.67968933,58.96612351,6.62860518,71.31933618,maize
77,47,24,22.27569324,57.018552,6.12929866,89.01333226,maize
80,42,18,19.78557749,63.81314499,7.12062781,69.03354458,maize
75,73,28,19.94118655,69.53301872,5.78423861,61.35448542,maize
73,32,21,25.73702892,56.61688198,6.51937969,92.97312543,maize
70,30,31,24.97714092,70.38927187,6.68386269,96.65062542,maize
66,63,16,24.0032563,72.46184341,6.39238427,89.41704988,maize
72,59,24,24.18098753,63.19735161,6.48668124,78.34658313,maize
11,70,76,16.91417252,16.08892895,7.13692375,73.59444872,chickpea
44,73,77,18.52293312,16.70933339,7.4763226,103.09395244,chickpea
38,72,81,21.49084871,17.18849886,7.17481889,93.1527708,chickpea
55,67,84,21.92117348,17.60849729,7.07671623,98.90451979,chickpea
86,59,76,19.77534679,20.8232837,7.20968845,86.86690904,chickpea
32,61,81,19.26395048,19.23449686,7.31285756,93.68975347,chickpea
46,67,78,16.84438795,13.97400318,7.3468262,80.94341203,chickpea
41,77,80,15.50220718,18.35969251,7.12725154,102.65508766,chickpea
54,62,81,15.31761893,15.38886059,7.098563,90.78266336,chickpea
56,62,72,14.08259525,20.55406745,7.13981176,70.99130458,chickpea
46,74,84,15.57581,18.88715473,7.15581469,49.80685765,chickpea
40,70,78,18.57081686,13.00012666,7.41148593,71.82062537,chickpea
45,62,80,16.97475283,22.74916017,7.18654038,98.54278582,chickpea
61,73,85,18.35239446,22.97555678,7.12719057,70.80245799,chickpea
17,66,79,13.56579331,19.65081801,7.15944052,88.87557446,chickpea
56,71,74,15.4365205,20.75308966,7.26028924,70.85364883,chickpea
49,58,81,21.22895905,18.21704637,7.22086676,78.84939677,chickpea
34,72,82,20.72245795,20.55889868,7.34937881,68.78913123,chickpea
35,77,81,24.67952269,17.42627047,7.15649013,80.04959459,chickpea
52,78,77,18.47766533,12.68661434,7.01117903,92.57635493,chickpea
26,69,83,21.59540075,15.3373457,7.34060655,70.59029248,chickpea
32,74,83,18.32321102,17.1116457,7.31375295,81.58158112,chickpea
51,63,80,16.4396732,13.87814347,7.25003235,82.22615968,chickpea
46,73,78,18.62958025,15.44099373,7.121024,66.50084774,chickpea
44,65,81,20.58903732,16.71520902,7.46650798,82.86979142,chickpea
36,56,78,18.3710804,18.36666758,7.28321948,88.11937462,chickpea
50,76,80,20.44201925,12.59677649,7.32946313,82.12543796,chickpea
19,60,78,17.60673735,13.59487292,6.98669224,70.13797644,chickpea
34,63,83,17.7344948,19.76123756,7.26434481,75.88586417,chickpea
25,76,81,15.20768732,20.02065706,7.53511396,92.02200763,chickpea
39,73,76,17.37780595,20.77467671,7.03870674,90.43713425,chickpea
27,70,81,19.7128064,17.84239169,7.0734285,63.80159105,chickpea
45,63,85,16.30858794,16.15642561,7.21611731,66.89381207,chickpea
28,77,79,18.05630628,16.05701781,6.91247762,66.41616272,chickpea
60,62,83,15.10280689,19.68314458,7.13907995,67.65794911,chickpea
39,64,80,19.87563436,22.15449788,7.34091306,91.7118794,chickpea
50,67,80,21.21863655,19.15787685,7.17574185,71.96005884,chickpea
44,73,80,16.81537078,16.34683902,7.20284868,79.583849,chickpea
16,65,82,22.7188826,18.9553206,6.97976044,77.21159313,chickpea
28,65,72,16.94634508,15.68896277,7.04706232,81.9873458,chickpea
36,70,80,17.86208956,13.15931921,6.97841881,72.99335673,chickpea
45,83,78,18.31630335,18.06530987,7.19648656,73.99258225,chickpea
49,61,79,13.85439334,15.76415012,7.25984729,89.89925468,chickpea
39,50,74,18.82352384,16.10484333,7.03412472,80.78639097,chickpea
25,91,81,19.45207313,18.31273993,7.48157047,89.51008894,chickpea
42,66,86,23.45565075,17.11628293,7.20959666,75.5186844,chickpea
51,84,82,22.15449792,14.88474466,7.23544864,68.68208091,chickpea
71,79,74,22.05268985,19.34100104,6.96820501,76.3615806,chickpea
40,64,83,20.93687954,20.27509923,7.33115136,92.97649753,chickpea
44,80,80,21.00869073,19.69828914,7.16528298,87.13628254,chickpea
47,72,77,19.77676987,13.51541212,7.10615638,92.90867561,chickpea
41,66,75,16.19886061,20.92051612,7.2577085,64.11694038,chickpea
20,76,79,20.65773113,14.96457505,7.2265574,84.22403545,chickpea
49,62,76,21.0845236,12.73975094,7.33902839,76.96733225,chickpea
37,79,85,20.29337114,14.02414128,7.27359104,90.21033085,chickpea
43,72,76,20.11254172,22.13636274,7.21176752,79.26001617,chickpea
60,82,81,17.55851319,23.23184717,7.13586683,73.14636903,chickpea
52,55,84,20.46629188,16.90272491,7.2967669,70.81405639,chickpea
36,71,78,16.29143711,19.63018722,7.19041941,104.26530741,chickpea
38,67,76,17.84102462,20.34094864,7.23560072,63.84726407,chickpea
34,79,80,22.07382994,17.64173625,7.3279849,88.62911655,chickpea
46,65,81,18.07789354,13.04511871,7.20143284,66.793216,chickpea
70,60,82,16.78265595,17.19918185,7.10501187,86.73849386,chickpea
60,74,80,13.65311843,13.69428401,7.39241893,70.52292704,chickpea
28,72,79,18.05357008,18.49236474,7.17869406,76.66095478,chickpea
47,72,81,18.61550819,18.74102973,7.34026631,90.93473606,chickpea
51,91,79,18.67748679,15.88448684,7.12679701,98.53339374,chickpea
34,55,83,16.6826876,20.24836733,7.15769564,72.41821173,chickpea
13,64,82,19.25762071,18.47580143,7.19024315,94.03695417,chickpea
48,77,77,16.23392235,18.14975067,7.18932495,57.37086067,chickpea
41,82,79,17.30778994,20.8718139,7.14378163,88.66642051,chickpea
29,66,81,20.95729052,10.43713329,7.07523582,81.90915491,chickpea
29,67,81,22.40087732,16.24922935,7.343821,94.78375284,chickpea
23,60,86,18.05543569,15.06307001,7.41466487,83.38170258,chickpea
68,69,73,18.26503642,23.84876033,7.32995494,70.26933267,chickpea
40,65,81,15.46332918,18.78528437,7.02243614,99.71281162,chickpea
25,64,76,15.30322508,18.0043723,7.0315233,83.83464808,chickpea
41,60,79,17.84473944,15.18535445,7.01767457,63.03779212,chickpea
45,73,82,14.69421442,16.4223508,6.95726591,109.35581431,chickpea
20,50,79,17.70908644,15.37175968,7.23320629,84.74207771,chickpea
19,57,78,15.85933648,18.88812944,7.25269645,93.19020793,chickpea
35,61,82,21.59262635,16.8735315,7.39618734,56.35981962,chickpea
10,62,83,16.92763661,14.92781209,7.39642885,96.08305281,chickpea
24,55,81,19.08648895,21.2519819,7.09974924,83.55320708,chickpea
19,62,78,15.69007059,18.09980992,7.37949418,69.10325081,chickpea
36,63,76,19.13301128,19.23804601,7.24099819,106.86598,chickpea
44,73,85,18.92738838,16.71739907,7.42630794,91.61060499,chickpea
26,63,82,18.07767711,17.49098651,7.01635449,74.46029356,chickpea
37,69,80,18.42161325,13.39138301,7.05560543,78.20797716,chickpea
32,73,81,20.66454251,18.78365116,7.28831034,78.8189911,chickpea
39,67,73,17.95101503,16.60670542,7.17595606,96.99097129,chickpea
53,69,79,21.06547417,16.95060535,7.07725949,59.40501587,chickpea
14,72,82,19.59069863,16.45084582,7.2847411,82.05126045,chickpea
40,72,82,16.89304108,18.36780576,7.07870543,72.69491692,chickpea
45,74,80,21.02515924,16.23922458,7.16792166,68.27304523,chickpea
43,60,81,18.13471492,25.63511601,7.24276858,75.43250184,chickpea
62,71,77,16.78689298,15.60074932,7.25417968,96.0583536,chickpea
45,59,77,18.26469734,18.25912572,7.35922782,87.28464122,chickpea
28,78,80,14.95747772,22.88955295,7.19565874,84.61200751,chickpea
25,78,77,19.208217,12.90152524,6.89387117,83.81949443,chickpea
27,76,19,20.08544429,22.75153702,5.9661629,101.00770674,kidneybeans
25,91,16,18.27663687,23.04699457,5.91917022,163.50416953,kidneybeans
25,69,21,19.80316052,23.60196284,5.80934046,79.54425074,kidneybeans
31,66,19,21.20596559,17.40872449,5.56283967,134.43218396,kidneybeans
27,63,19,18.00165884,22.856618,6.14739072,99.47661204,kidneybeans
19,65,17,23.52112211,15.65198021,6.03935776,91.08765187,kidneybeans
10,62,24,20.18694197,23.12771821,5.72157364,85.21506911,kidneybeans
21,70,26,20.84062062,16.05486509,5.89788968,106.13639983,kidneybeans
42,63,20,16.26084937,22.29117104,5.52003233,91.72581171,kidneybeans
28,72,17,20.37897461,20.82269647,5.80871187,97.50383223,kidneybeans
5,71,22,19.50092044,19.13024281,5.82668066,61.06402895,kidneybeans
23,65,18,14.5339839,24.42185133,5.93449291,99.6250202,kidneybeans
6,57,20,18.81889947,18.68904448,6.38342867,114.37619742,kidneybeans
32,69,24,17.31145061,19.69208719,5.45142993,112.50893018,kidneybeans
32,67,24,18.66686954,22.61194071,5.7833572,54.07133071,kidneybeans
23,71,24,22.89085324,23.91335634,5.3734818,84.12962641,kidneybeans
9,72,21,24.76987123,24.11968322,5.67312572,129.5421028,kidneybeans
13,71,20,23.50091479,22.01683634,5.56940716,97.59342433,kidneybeans
22,71,20,22.71581479,20.45755124,6.09585221,121.15493561,kidneybeans
27,63,22,20.6442393,20.7084381,6.02744927,116.67916173,kidneybeans
14,71,19,24.39886817,19.74129366,5.57942102,75.9054581,kidneybeans
29,59,22,18.24739794,26.00392844,6.02486516,74.75856387,kidneybeans
28,74,20,19.2777353,17.65296134,5.4831265,114.5507768,kidneybeans
31,74,21,24.48557945,18.2527618,5.79768212,115.99010907,kidneybeans
14,72,20,13.26499346,25.10707596,5.84099695,80.42776008,kidneybeans
24,74,16,21.61037084,20.16481633,5.89554342,98.17597117,kidneybeans
32,70,21,22.61122974,22.9064825,5.53059467,31.84987759,kidneybeans
24,72,25,15.73340673,20.85397931,6.05455483,151.37689439,kidneybeans
34,73,20,19.86481206,23.39349139,5.76529815,110.68921497,kidneybeans
16,64,25,12.96913252,19.49315497,6.61938661,122.7264622,kidneybeans
27,63,17,15.60022782,18.08717901,5.53106645,69.66630697,kidneybeans
17,74,20,19.89423819,19.91154928,5.7823652,82.04711619,kidneybeans
20,62,20,18.44747061,19.63766541,5.3131698,94.24177939,kidneybeans
15,50,19,21.39554644,22.37879243,5.88264178,144.62730008,kidneybeans
17,63,18,16.79213049,18.24894899,5.74149869,87.21222389,kidneybeans
20,76,20,21.9821178,20.77536948,5.25622349,113.05076964,kidneybeans
17,76,17,18.54119155,26.09106303,6.06057458,94.25972082,kidneybeans
29,66,17,20.81212915,21.18344167,5.75318095,96.24678843,kidneybeans
21,66,20,19.73803337,21.80406743,5.74360027,112.57347944,kidneybeans
11,80,18,20.42051452,24.13596165,5.50390607,88.61026924,kidneybeans
28,58,25,20.50001327,15.37444113,5.69784817,124.61843463,kidneybeans
30,62,21,20.16992493,18.10821012,5.40429094,105.35733049,kidneybeans
15,70,23,18.8813409,20.93478607,5.80757885,121.2802904,kidneybeans
21,68,19,19.95641526,21.90059442,5.8524458,34.27537623,kidneybeans
17,73,18,18.86845265,21.38612459,6.18515354,48.30442023,kidneybeans
14,76,21,20.46866918,19.49305361,5.33917451,70.82531773,kidneybeans
20,82,15,19.41330796,25.02937227,5.36023255,85.68757724,kidneybeans
22,62,19,25.38366982,22.23923844,5.44374203,110.41006022,kidneybeans
13,64,21,18.42920004,21.3040839,5.93240761,94.53681956,kidneybeans
15,62,20,21.53661012,25.13789604,5.89245253,91.62961332,kidneybeans
14,64,20,18.06148219,23.25116131,5.90707265,72.35076621,kidneybeans
27,69,16,16.46208307,24.80639968,6.15879525,114.68727691,kidneybeans
16,70,15,21.74918319,19.61607296,5.91118243,89.35138988,kidneybeans
27,76,18,19.80640283,17.44510443,6.13693063,166.95072773,kidneybeans
18,63,20,18.97633612,19.22690717,5.70023105,115.1877787,kidneybeans
25,76,18,21.46645584,22.48954597,5.28653819,162.01620766,kidneybeans
21,64,18,21.07186947,24.69369636,5.69702327,128.4204327,kidneybeans
10,56,21,17.96178393,22.75510289,6.03427947,66.87141488,kidneybeans
27,63,23,18.9984277,19.39162454,5.67210952,26.27499667,kidneybeans
21,75,16,21.78261891,20.07209309,5.30457945,71.27578446,kidneybeans
14,68,23,21.04800152,22.37055774,6.12854622,83.07862574,kidneybeans
27,61,19,19.26179882,22.89525903,5.16426882,131.72729445,kidneybeans
21,71,20,22.11962907,20.28617097,5.50478544,85.84271429,kidneybeans
35,70,21,16.64947904,21.99707503,5.9527744,97.41726928,kidneybeans
20,68,18,22.22506789,21.05024544,5.72197704,123.26369315,kidneybeans
20,63,22,20.42810206,18.44342838,5.70157911,102.5130893,kidneybeans
21,68,16,18.65118133,21.1917935,5.92404386,118.84050336,kidneybeans
22,79,18,20.0053727,18.73995936,6.28816934,102.50002119,kidneybeans
6,68,16,24.04070438,22.44196909,5.52844748,84.04102756,kidneybeans
14,82,19,25.28907458,25.48379877,5.27776107,85.02142813,kidneybeans
21,69,17,20.26621549,23.27849749,5.89828018,122.10602712,kidneybeans
18,61,16,15.8720556,21.41262324,5.35910037,74.98422948,kidneybeans
16,63,24,22.21046935,23.50387501,6.07769339,45.68163824,kidneybeans
19,74,15,18.64606035,27.11205812,5.61217586,97.83948831,kidneybeans
27,75,20,28.10314769,24.63633424,5.89746329,78.72226758,kidneybeans
12,58,21,21.30799862,24.25844275,5.94914087,120.94757957,kidneybeans
29,64,22,18.34710818,17.38530281,5.83699282,90.87378361,kidneybeans
24,61,18,22.31812627,26.4269943,5.94409235,78.07737838,kidneybeans
24,63,18,22.47071101,24.97887703,6.25364307,159.1179145,kidneybeans
20,68,23,21.89759286,25.32468312,5.22053917,112.60193752,kidneybeans
15,72,22,20.96906443,22.99744909,5.89112275,155.62710362,kidneybeans
22,69,14,19.79900402,20.32937356,5.44406561,148.02054854,kidneybeans
27,54,20,18.92677157,21.66542536,5.64951143,109.12873816,kidneybeans
33,73,21,19.8359233,20.4398964,5.82273746,131.92084377,kidneybeans
24,79,23,16.87036947,21.33981008,5.52081893,96.97462434,kidneybeans
29,56,24,19.2197617,23.82873577,5.40297237,105.14870091,kidneybeans
30,64,23,23.40225397,17.89188258,5.98370348,133.75533761,kidneybeans
17,63,20,22.51597619,27.718625,5.34775564,114.46026053,kidneybeans
24,68,16,21.81946538,21.86760334,6.14852044,83.76783662,kidneybeans
14,63,22,15.35994828,25.18647666,5.98725793,131.97693215,kidneybeans
31,71,23,19.25713816,20.80430715,5.94210157,93.40581382,kidneybeans
17,68,24,22.01871809,23.98967997,6.37263711,83.88361977,kidneybeans
23,64,22,21.80815765,20.07863553,5.65209272,38.23910439,kidneybeans
24,71,20,16.14731751,20.45011584,5.677808,92.90114061,kidneybeans
27,67,16,21.13800681,22.54240456,5.73169671,103.87640745,kidneybeans
6,72,16,20.33142427,22.92747056,5.98070585,68.87949258,kidneybeans
20,72,18,19.56766722,22.4103684,5.87388343,119.81168143,kidneybeans
25,77,16,19.68916795,22.48983016,6.05937354,94.69196717,kidneybeans
28,71,21,23.75528787,19.36289416,5.63439212,109.73800047,kidneybeans
24,71,21,19.5294437,20.20945221,5.88665151,95.00625702,kidneybeans
22,70,21,31.60665099,42.07845928,3.79231098,192.52570039,pigeonpeas
23,73,15,24.57550004,61.28815003,6.50578848,17.32656245,pigeonpeas
0,72,23,28.81943502,54.84827637,4.47080972,93.15830734,pigeonpeas
22,71,16,30.8856423,55.01103944,4.12960219,143.82434042,pigeonpeas
